entity_text,Sentiment_Label,sentiment_bert,count
aaceedecceccaad eeafeaeccedadadebdfccaf afdebbefcefeceb daecaceffacaaed,Positive,negative,1
addon,Positive,negative,1
aes encryption default remote,Positive,negative,1
afternoon,Positive,negative,2
afternoon cisco,Negative,negative,1
age learned code year old,Positive,positive,1
agenda apt,Positive,positive,1
al,Negative,negative,1
al new resource mean,Positive,negative,1
albus,Negative,negative,1
all couple month ago,Positive,negative,1
allison miller,Positive,negative,1
almost seven million,Negative,negative,1
almost two year,Positive,negative,1
almost two year later,Positive,negative,1
almost year,Positive,negative,4
almost zero,Positive,negative,1
alyssa miller,Positive,negative,1
america,Positive,negative,4
american,Negative,negative,2
american dream academy,Positive,negative,1
amount year,Positive,negative,1
andy elli,Positive,negative,1
annual,Positive,negative,2
another week,Positive,negative,1
apg cisco,Negative,negative,1
apollo,Positive,negative,1
applicationx,Positive,negative,1
approximately million,Negative,negative,1
approximately million,Positive,negative,1
approximately minute,Positive,positive,1
apps running electron,Positive,negative,1
apps various apk,Negative,negative,1
appsec pine approach appsec,Positive,negative,1
april,Negative,negative,1
april,Positive,negative,2
apt adversary group active enviroment industry,Positive,negative,1
arab,Positive,negative,1
around k year,Positive,negative,1
around week ago,Positive,negative,1
around year,Positive,negative,1
around year month,Positive,negative,1
ashburn va major,Positive,negative,1
asia,Negative,negative,2
asos harvard university,Positive,negative,1
assurance brian,Positive,negative,1
att,Positive,negative,2
attacker jumpbox,Negative,negative,1
attck w john strand,Positive,negative,1
august,Positive,negative,6
august session hour,Positive,negative,1
australia,Negative,negative,3
australia,Positive,negative,1
av,Positive,negative,1
avira av,Positive,negative,1
avira av running,Positive,negative,1
awsccp tssci,Positive,negative,1
bachelor computer science,Positive,positive,1
baltimore county,Negative,negative,1
bank db bank,Positive,negative,1
bash,Positive,negative,1
bash bunny,Positive,negative,1
bash python,Negative,negative,1
basta,Negative,negative,1
basta,Positive,negative,1
bbc china,Negative,negative,1
bbc sony,Positive,negative,1
beijing,Negative,negative,1
belgian,Negative,negative,1
belgium bridge,Negative,negative,1
berkeley,Positive,negative,1
berlin,Positive,negative,1
betsy beyer,Positive,negative,1
better year ago,Positive,negative,1
biden,Positive,negative,1
billion,Negative,negative,1
billion,Positive,negative,1
billion dollar,Positive,negative,1
bla bla,Positive,negative,1
black basta webinar,Positive,negative,1
blumira customer,Positive,negative,1
blumira logmira,Negative,negative,1
bmw lamborghini financial time europa jaguar harvey,Positive,negative,1
bnmodsqrt,Negative,negative,1
browsing cruz report cybersecurity talent,Positive,negative,1
bsc,Positive,negative,1
bsc java,Positive,negative,1
bt university,Positive,negative,1
builtin,Negative,negative,1
builtin msi,Negative,negative,1
byte,Positive,negative,5
byte mtcp optional data optional field,Positive,negative,1
california,Negative,negative,1
california,Positive,negative,3
california department technology cybersecurity task force,Positive,negative,1
campbell coca cola time,Positive,negative,1
canada,Positive,negative,1
canada germany,Negative,negative,1
career year ago,Negative,negative,1
carla sweeney,Positive,negative,1
checkhighprivilegegroupsconn highprivgroups domain,Positive,negative,1
checksum,Positive,negative,2
checkunconstraineddelegationconn connsearchsearchbasedcexampledccom,Positive,negative,1
chevrolet,Positive,negative,2
chicago,Positive,positive,1
china,Negative,negative,11
china,Positive,negative,2
chinese,Negative,negative,3
chinese,Positive,negative,8
chris,Negative,positive,1
chris,Positive,negative,2
chris crowley hour mon aug pm pm edt,Positive,negative,1
chris hughes ciso,Positive,negative,1
chris krebs,Negative,negative,1
christian,Positive,negative,1
christian,Positive,positive,1
christopher krebs,Negative,negative,1
ci control ci benchmark,Positive,negative,1
ci control nice know,Positive,negative,1
cia,Positive,negative,4
cisa warns attacker exploiting,Negative,negative,1
cisco networking academy,Positive,positive,1
cismcissp,Positive,negative,1
ciso federal reserve bank philadelphia,Positive,negative,1
ciso umwc,Positive,positive,1
cissp ceh cissp,Positive,negative,1
cissp cisa,Positive,negative,1
cissp working iam,Positive,negative,1
classa moron,Negative,negative,1
cmss,Positive,negative,1
cnn,Positive,negative,3
cofounder,Positive,positive,1
coming day week,Positive,negative,1
corey greenwald,Positive,negative,1
costco gucci,Positive,negative,1
couple minute,Positive,negative,1
couple month,Positive,negative,3
couple month ago,Positive,negative,1
couple month back,Positive,negative,1
couple month first day,Positive,positive,1
couple week,Positive,negative,1
couple week,Positive,positive,1
couple week ago,Negative,negative,1
couple year,Positive,negative,2
couple year ago,Positive,negative,1
crown,Positive,negative,1
ctf hackxor,Positive,negative,1
ctfs,Negative,negative,1
ctfs,Positive,negative,11
ctfs,Positive,positive,1
cti,Negative,negative,7
cti,Positive,negative,12
cti,Positive,positive,1
cybersecurity hackthebox,Negative,negative,1
cybersecurity university however university,Negative,negative,1
daily,Negative,negative,2
daily,Positive,negative,12
daily,Positive,positive,2
dan boneh,Positive,negative,1
dang,Positive,negative,1
daniel gericke,Positive,negative,1
daniel miesslers blog,Positive,negative,1
david rushmer,Negative,negative,1
day,Positive,positive,1
day ago,Negative,negative,1
day ago,Positive,negative,1
day day,Negative,negative,1
day day,Positive,negative,4
day every day,Positive,negative,1
decade,Positive,negative,1
december,Negative,negative,1
december,Positive,negative,1
december last year eccouncil,Positive,negative,1
december week,Positive,negative,1
december year,Positive,negative,1
defender,Positive,negative,1
defense department week,Positive,negative,1
degree year,Positive,negative,1
deloitte,Positive,negative,1
delpy creator mimikatz,Positive,negative,1
deutsche bank australian national university stanford university,Positive,negative,1
devs devs,Positive,negative,1
dialin,Negative,negative,1
digenova,Negative,negative,2
dingdong funny,Positive,negative,1
diploma yeras university,Positive,negative,1
dll,Positive,negative,2
doc,Positive,negative,1
doc,Positive,positive,1
document week,Positive,negative,1
dodin,Positive,negative,1
dodin allows active management ip space ensure department operational,Positive,negative,1
dodin part,Positive,negative,1
donald trump,Negative,negative,1
donald trump,Positive,negative,1
douglas w,Positive,negative,1
dozen,Positive,negative,2
dozen dozen,Positive,negative,1
dozen thousand dollar,Positive,negative,1
dozen time week,Positive,negative,1
dr robert blumofe urobertblumofe executive,Positive,negative,1
ducky bash bunny,Positive,positive,1
earlier year,Positive,negative,1
ec,Positive,negative,1
eccouncil couple day ago,Positive,negative,1
eeffb edee,Positive,negative,1
end year,Negative,negative,1
english,Negative,negative,1
english,Positive,negative,5
enrollment v rpc enrollment,Negative,negative,1
epa,Negative,negative,2
eric kobrin,Positive,negative,1
eric zimmermans,Negative,negative,1
eu,Positive,negative,1
eu threat intel,Positive,negative,1
europe,Positive,negative,1
evening,Positive,negative,1
every day,Positive,negative,4
every hour,Positive,negative,1
every minute,Positive,negative,1
every month,Positive,negative,1
every morning,Negative,negative,1
every week,Negative,negative,1
every week,Positive,negative,2
every year,Positive,negative,1
exploit db respond,Positive,negative,1
facet year,Positive,negative,1
far isojune h isojune,Positive,negative,1
fbi,Negative,negative,3
fbi,Positive,negative,1
fdaacedddfeaaadbadcba dacdcbeadefaebbc,Positive,negative,1
february,Negative,negative,3
fed,Negative,negative,1
fed,Positive,negative,1
first,Negative,negative,12
first,Positive,negative,71
first,Positive,positive,8
first day,Positive,negative,2
first minute,Positive,negative,1
first month,Positive,negative,1
first year,Positive,negative,1
first zero day,Negative,negative,1
firstly,Positive,negative,1
five,Negative,negative,2
five,Positive,negative,2
five,Positive,positive,1
fla,Positive,negative,1
florida,Positive,negative,1
foreachobject,Positive,negative,1
fort knox,Positive,negative,1
fort meade,Positive,negative,1
